Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;12;Berg;9;Quintana Nairo;Quintana Nairo;Martin Dan;;;;
;Tour de France;2018;12;Berg;10;Kruijswijk Steven;Martin Dan;Alaphilippe Julian;;;;
;Tour de France;2018;12;Berg;11;Bernal Egan;Fuglsang Jakob;;;;;
;Tour de France;2018;12;Berg;12;Martin Dan;Valverde Alejandro;;;;;
;Tour de France;2018;12;Berg;13;Jungels Bob;Jungels Bob;;;;;
;Tour de France;2018;12;Berg;14;Valverde Alejandro;Zakarin Ilnur;;;;;
;Tour de France;2018;12;Berg;15;Zakarin Ilnur;Nieve Mikel;;;;;
;Tour de France;2018;12;Berg;16;Latour Pierre;Latour Pierre;;;;;
;Tour de France;2018;12;Berg;17;Izagirre Ion;Martin Guillame;;;;;
;Tour de France;2018;12;Berg;18;Martin Dan;Kangert Tanel;;;;;
;Tour de France;2018;12;Berg;19;Kangert Tanel;Bernal Egan;;;;;
;Tour de France;2018;12;Berg;20;Gaudu David;Barguil Warren;;;;;
;Tour de France;2018;13;Vlak;1;Sagan Peter;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;;41
;Tour de France;2018;13;Vlak;2;Kristoff Alexander;Froome Chris;Kristoff Alexander;Martin Guillaume;Barguil Warren;;
;Tour de France;2018;13;Vlak;3;Demare Arnaud;Dumoulin Tom;Demare Arnaud;Bernal Egan;Pauwels Serge;;
;Tour de France;2018;13;Vlak;4;Degenkolb John;Roglic Primoz;Degenkolb John;Gaudu David;Thomas Geraint;;
;Tour de France;2018;13;Vlak;5;Van Avermaet Greg;Bardet Romain;Pasqualon Andrea;Kragh Andersen Soren;Gaudu David;;
;Tour de France;2018;13;Vlak;6;Lampaert Yves;Landa Mikel;Van Avermaet Greg;;;;
;Tour de France;2018;13;Vlak;7;Cort Magnus;Kruijswijk Steven;Gilbert Philippe;;;;
;Tour de France;2018;13;Vlak;8;Pasqualon Andrea;Quintana Nairo;Colbrelli Sonny;;;;
;Tour de France;2018;13;Vlak;9;Colbrelli Sonny;Martin Dan;Valverde Alejandro;;;;
;Tour de France;2018;13;Vlak;10;Phinney Taylor;Fuglsang Jakob;Martin Dan;;;;
;Tour de France;2018;13;Vlak;11;Janse van Rensburg Reinardt;Valverde Alejandro;;;;;
;Tour de France;2018;13;Vlak;12;Smith Dion;Jungels Bob;;;;;
;Tour de France;2018;13;Vlak;13;Guarnieri Jacopo;Zakarin Ilnur;;;;;
;Tour de France;2018;13;Vlak;14;Dupont Timothy;Nieve Mikel;;;;;
;Tour de France;2018;13;Vlak;15;Latour Pierre;Latour Pierre;;;;;
;Tour de France;2018;13;Vlak;16;Arndt Nikias;Martin Guillame;;;;;
;Tour de France;2018;13;Vlak;17;Boasson Hagen Edwald;Kangert Tanel;;;;;
;Tour de France;2018;13;Vlak;18;De Buyst Jasper;Bernal Egan;;;;;
;Tour de France;2018;13;Vlak;19;Laporte Christophe;Barguil Warren;;;;;
;Tour de France;2018;13;Vlak;20;Hepburn Michael;Majka Rafal;;;;;
;Tour de France;2018;14;Heuvel;1;Fraile Omar;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;66;
;Tour de France;2018;14;Heuvel;2;Alaphilippe Julian;Froome Chris;Kristoff Alexander;Martin Guillaume;Barguil Warren;;
;Tour de France;2018;14;Heuvel;3;Stuyven Jasper;Dumoulin Tom;Demare Arnaud;Bernal Egan;Pauwels Serge;;
;Tour de France;2018;14;Heuvel;4;Sagan Peter;Roglic Primoz;Degenkolb John;Martinez Daniel Felipe;Thomas Geraint;;
